material,process,mat_k_thermal,mat_E_GPa,mat_cte,power_W,speed_mm_s,beam_radius_um,blade_W_um,cut_depth_um,peak_T_C,groove_depth_um,haz_depth_um,haz_excess_um,haz_width_um,haz_volume_um3,haz_volume_frac,ablated_volume_um3,max_grad_C_per_um,max_thermal_stress_MPa,crack_risk_volume_um3,crack_risk_frac,n_steps
Si,laser,148.0,130.0,2.6e-06,16.247313047633217,262.93930447034563,4.157741070863075,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,2750.0,0.001736,125.0,248.599,927.15,5375.0,0.003393,951
Si,laser,148.0,130.0,2.6e-06,30.779367572379943,393.5732282470654,7.059522483672621,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,6625.0,0.004182,125.0,357.35,927.15,11750.0,0.007418,551
Si,laser,148.0,130.0,2.6e-06,16.573003736595332,250.90382837399005,7.775472445178133,23.0,60.0,1755.18,0.0,20.0,20.0,35.0,14250.0,0.008996,0.0,122.359,812.23,31375.0,0.019807,8001
Si,laser,148.0,130.0,2.6e-06,9.899808873733217,273.2594675646667,3.83711471023413,23.0,60.0,1732.69,0.0,15.0,15.0,25.0,3875.0,0.002446,0.0,161.413,801.67,10375.0,0.00655,7351
Si,laser,148.0,130.0,2.6e-06,21.2860550080484,84.83538730453407,5.606725031981259,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3875.0,0.002446,125.0,342.802,927.15,7250.0,0.004577,2401
Si,laser,148.0,130.0,2.6e-06,28.44632891672727,187.81412995186088,4.627778750365296,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1875.0,0.001184,125.0,395.0,927.15,3125.0,0.001973,501
Si,laser,148.0,130.0,2.6e-06,20.522420704719316,107.70379046394427,6.196286660969414,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,5125.0,0.003235,125.0,273.252,927.15,8875.0,0.005603,2301
Si,laser,148.0,130.0,2.6e-06,19.083261824594256,190.0236389151225,4.718403154753931,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3250.0,0.002052,250.0,332.809,927.15,5875.0,0.003709,1151
Si,laser,148.0,130.0,2.6e-06,33.88633093690608,247.76068204324278,5.799796141602367,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2500.0,0.001578,125.0,395.0,927.15,5125.0,0.003235,351
Si,laser,148.0,130.0,2.6e-06,25.206249260638646,214.30678975402205,3.5996507916886733,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1250.0,0.000789,125.0,395.0,927.15,2375.0,0.001499,451
Si,laser,148.0,130.0,2.6e-06,8.169856449952388,291.97025609634466,5.5486272053659285,23.0,60.0,1121.71,0.0,10.0,10.0,25.0,2875.0,0.001815,0.0,90.637,514.85,6625.0,0.004182,6901
Si,laser,148.0,130.0,2.6e-06,19.94925620691007,367.7301967073293,3.9318795903435344,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1875.0,0.001184,125.0,395.0,927.15,3125.0,0.001973,401
Si,laser,148.0,130.0,2.6e-06,32.45434287180448,207.59544322206682,7.307986449977246,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,5625.0,0.003551,250.0,394.973,927.15,10000.0,0.006313,751
Si,laser,148.0,130.0,2.6e-06,14.78006096662642,345.82413452820003,6.119535595597805,23.0,60.0,1873.99,0.0,20.0,20.0,35.0,11000.0,0.006944,0.0,146.308,868.0,25375.0,0.01602,5851
Si,laser,148.0,130.0,2.6e-06,31.122245001843698,368.8746194393723,6.038025913901704,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3750.0,0.002367,125.0,395.0,927.15,6250.0,0.003946,351
Si,laser,148.0,130.0,2.6e-06,20.69171312043018,350.8507356113689,3.2308942175103788,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1375.0,0.000868,125.0,395.0,927.15,2500.0,0.001578,401
Si,laser,148.0,130.0,2.6e-06,33.75218260956254,136.79652302085046,6.90639360577433,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3750.0,0.002367,125.0,395.0,927.15,7125.0,0.004498,751
Si,laser,148.0,130.0,2.6e-06,23.98891030180745,127.6706246154952,6.832576180119657,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,5375.0,0.003393,125.0,306.283,927.15,10125.0,0.006392,1751
Si,laser,148.0,130.0,2.6e-06,29.28216980048362,177.9520165217508,5.646917593692412,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2750.0,0.001736,125.0,395.0,927.15,5125.0,0.003235,601
Si,laser,148.0,130.0,2.6e-06,12.289070758288636,120.60575358275568,3.422295687709267,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1750.0,0.001105,125.0,220.263,927.15,3500.0,0.00221,2051
Si,laser,148.0,130.0,2.6e-06,24.229520375879382,156.62528952476995,6.241236072185828,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,4750.0,0.002999,125.0,344.753,927.15,8500.0,0.005366,1301
Si,laser,148.0,130.0,2.6e-06,22.149190440426757,253.3504236871048,4.384682204984971,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1875.0,0.001184,125.0,395.0,927.15,3125.0,0.001973,501
Si,laser,148.0,130.0,2.6e-06,34.905813661937,302.35150607990994,5.382613015788607,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2750.0,0.001736,125.0,395.0,927.15,5625.0,0.003551,351
Si,laser,148.0,130.0,2.6e-06,18.41762199912642,315.779861632545,6.1318143090081865,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,7000.0,0.004419,125.0,176.329,927.15,13250.0,0.008365,1301
Si,laser,148.0,130.0,2.6e-06,27.43293936829886,102.35647347803169,4.9011044359341565,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1875.0,0.001184,125.0,395.0,927.15,3125.0,0.001973,851
Si,laser,148.0,130.0,2.6e-06,32.75834414996499,174.51400754393208,6.258218122803995,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,3125.0,0.001973,125.0,395.0,927.15,6125.0,0.003867,551
Si,laser,148.0,130.0,2.6e-06,37.60640352017903,162.58113650646573,6.990318844582644,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3750.0,0.002367,125.0,395.0,927.15,6500.0,0.004104,451
